datetime,open,high,low,close,volume
10/12/2020 13:30,83.650001,84.940002,83.120002,84.769996,17685351
10/12/2020 14:30,84.7788,85.129997,84.569999,84.949996,6286127
10/12/2020 15:30,84.955001,84.9701,84.150001,84.589996,5267087
10/12/2020 16:30,84.589996,84.699996,84.230003,84.5,4053806
10/12/2020 17:30,84.510002,84.720001,84.379997,84.535003,3385459
10/12/2020 18:30,84.530097,84.739997,83.985,84.043899,4586212
10/12/2020 19:30,84.044998,84.480003,83.910003,84.29,3956708
10/13/2020 13:30,84.86,85.5,83.980003,85.301498,11750548
10/13/2020 14:30,85.3012,86.089996,85.065902,85.859901,5567916
10/13/2020 15:30,85.851699,85.901702,84.239997,84.805,7885262
10/13/2020 16:30,84.809898,85.150001,84.370002,85.131599,4774915
10/13/2020 17:30,85.137901,85.237998,84.510002,84.779899,4056897
10/13/2020 18:30,84.779998,85.819999,84.629997,85.558296,4993090
10/13/2020 19:30,85.559997,85.79,85.208801,85.260002,2729881
10/14/2020 13:30,85.86,85.959999,83.719902,83.870002,11694020
10/14/2020 14:30,83.872001,85.019996,83.754997,84.9291,6973927
10/14/2020 15:30,84.919998,85.079902,83.459999,83.700698,6918297
10/14/2020 16:30,83.709999,84.18,83.599998,83.900001,4153443
10/14/2020 17:30,83.900001,84.480003,83.699996,84.220001,3520952
10/14/2020 18:30,84.220001,84.670501,84.033996,84.565002,3507918
10/14/2020 19:30,84.559997,84.75,84.129997,84.209999,2836029
10/15/2020 13:30,83.400001,84.7201,82.900001,83.035797,10480324
10/15/2020 14:30,83.029998,83.489997,82.419998,83.260101,5882120
10/15/2020 15:30,83.269996,83.580001,82.919998,82.964996,3345548
10/15/2020 16:30,82.970001,83.010002,82.470001,82.616798,3467843
10/15/2020 17:30,82.608398,83.11,82.535003,83.030097,2622311
10/15/2020 18:30,83.029998,83.370002,82.7201,83.279998,3447646
10/15/2020 19:30,83.279998,83.410003,82.970001,83.150001,3007381
10/16/2020 13:30,83.54,83.989997,82.650001,83.339996,9928447
10/16/2020 14:30,83.334999,83.760002,82.410003,82.61,5591957
10/16/2020 15:30,82.599998,83.069999,82.54,82.910003,3233705
10/16/2020 16:30,82.910003,83.089996,82.529998,83.010002,2685074
10/16/2020 17:30,83.019996,83.25,82.900001,83.175003,2707582
10/16/2020 18:30,83.180099,83.650001,83.120002,83.625,3769298
10/16/2020 19:30,83.620002,83.629997,83.099998,83.190002,2740887
10/19/2020 13:30,83.620002,84.650001,82.925399,83.713401,11000367
10/19/2020 14:30,83.709999,83.709999,82.5,83.154998,6126033
10/19/2020 15:30,83.159896,83.5,82.6501,82.830101,3958859
10/19/2020 16:30,82.830001,83.190002,82.819999,82.883399,2433487
